"@timestamp","_id","_index","_score","agent.name","agent.version","data_stream.dataset","data_stream.namespace","data_stream.type","event.agent_id_status","event.ingested","event.kind","event.severity","http.request.method","http.response.status_code","http.version","labels.ParentId","labels.SpanId","labels.TraceId","labels.application_id","labels.component_id","labels.component_name","labels.dns","labels.log_id","labels.tenant_id","labels.{OriginalFormat}","log.level",message,"observer.hostname","observer.type","observer.version","parent.id","service.framework.name","service.framework.version","service.language.name","service.name","service.node.name","service.target.name","service.target.type","span.id",tags,"trace.id","transaction.id","url.domain","url.full","url.full.text","url.original","url.original.text","url.path","url.query","url.scheme","user_agent.original","user_agent.original.text"
"Jan 28, 2025 @ 15:46:59.211",6Efgq5QBo81fAKGjwRcH,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:47:00.000","-",9,"-","-","-",7d503ad1f0db41d3,9ecb096e446fb4a7,d44473abc886f6110f0a34782e3dd918,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","a42515a0-9ecb-4d6c-9d24-a8c4bdb50203",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: a42515a0-9ecb-4d6c-9d24-a8c4bdb50203 Message: Input Parameters -  Input parameter and values - FA=143025;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: a42515a0-9ecb-4d6c-9d24-a8c4bdb50203 Message: Input Parameters -  Input parameter and values - FA=143025;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-","-","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",9ecb096e446fb4a7,"_geoip_database_unavailable_GeoLite2-City.mmdb",d44473abc886f6110f0a34782e3dd918,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:59.211",o0fgq5QBo81fAKGjwR0I,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:47:00.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - FA=143025;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",7d503ad1f0db41d3,"-","-",dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",9ecb096e446fb4a7,"_geoip_database_unavailable_GeoLite2-City.mmdb",d44473abc886f6110f0a34782e3dd918,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:59.168",vkfgq5QBo81fAKGjwRcH,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:47:00.000","-",9,"-","-","-",82d3d5cf6276b639,bed314b6b4294dee,eacfcb214c14cc5ca2aa352ec85fac9a,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","d2b25439-cf82-4c1e-9203-7fce242f3041",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: d2b25439-cf82-4c1e-9203-7fce242f3041 Message: Input Parameters -  Input parameter and values - APPLICATIONID=143025;USER_ID=5735;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: d2b25439-cf82-4c1e-9203-7fce242f3041 Message: Input Parameters -  Input parameter and values - APPLICATIONID=143025;USER_ID=5735;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-","-","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",bed314b6b4294dee,"_geoip_database_unavailable_GeoLite2-City.mmdb",eacfcb214c14cc5ca2aa352ec85fac9a,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:59.167",f0fgq5QBo81fAKGjwR0I,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:47:00.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - APPLICATIONID=143025;USER_ID=5735;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",82d3d5cf6276b639,"-","-",dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",bed314b6b4294dee,"_geoip_database_unavailable_GeoLite2-City.mmdb",eacfcb214c14cc5ca2aa352ec85fac9a,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:58.980",rkfgq5QBo81fAKGjwRkI,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:47:00.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Query - Select top 50 ins.InstanceId, ins.Subject, ins.Body, ins.ItemTypeId, ins.ItemId, ins.Rank, ins.InsightId, ins.GeneratedOn from InsightInstance ins WHERE ins.OwnerID = @OwnerID AND ins.ItemTypeId = @ItemType and (ins.ExpiresOn is null OR ins.ExpiresOn > @UtcDate) and isvisible = 1 AND EXISTS (SELECT 1 FROM insightinstanceuser iu WHERE iu.ownerid = ins.OwnerId AND iu.instanceid = ins.InstanceId AND iu.leveluserid = @UserId)  and ItemId = 143025","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",49bad0bbd121f113,"-","-",dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","MPI_PROD",db,7e76f3be01d81541,"_geoip_database_unavailable_GeoLite2-City.mmdb",b740aa26185c226ced175f8ed3219b42,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:58.060",bkbgq5QBo81fAKGjufr8,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:46:59.000","-",9,"-","-","-",ac4c79201f3f152d,a97ef283f9494f68,20557eb187096b856f180d044c6fafe5,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","a626e6e5-4d78-42a3-b4a1-00504309b8d6",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: a626e6e5-4d78-42a3-b4a1-00504309b8d6 Message: Input Parameters -  Input parameter and values - USER_ID=5735;FINANCIALAPPLICATIONID=143025;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: a626e6e5-4d78-42a3-b4a1-00504309b8d6 Message: Input Parameters -  Input parameter and values - USER_ID=5735;FINANCIALAPPLICATIONID=143025;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-","-","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",a97ef283f9494f68,"_geoip_database_unavailable_GeoLite2-City.mmdb",20557eb187096b856f180d044c6fafe5,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:58.059","g0bgq5QBo81fAKGjuf_8",".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:46:59.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - USER_ID=5735;FINANCIALAPPLICATIONID=143025;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",ac4c79201f3f152d,"-","-",dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",a97ef283f9494f68,"_geoip_database_unavailable_GeoLite2-City.mmdb",20557eb187096b856f180d044c6fafe5,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:57.868",7Ebgq5QBo81fAKGjufn8,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:46:59.000","-",9,"-","-","-",47ac08fc668e84a3,874ab57387f08aa8,8eed9f78b581869fc7d69f5627b82949,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","11e0f9b1-8117-44c8-b624-ac711379f69a",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 11e0f9b1-8117-44c8-b624-ac711379f69a Message: Input Parameters -  Input parameter and values - FA_ID=143025;STATUSCODE=100024;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 11e0f9b1-8117-44c8-b624-ac711379f69a Message: Input Parameters -  Input parameter and values - FA_ID=143025;STATUSCODE=100024;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-","-","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",874ab57387f08aa8,"_geoip_database_unavailable_GeoLite2-City.mmdb",8eed9f78b581869fc7d69f5627b82949,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:57.867",7Ubgq5QBo81fAKGjuf78,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:46:59.000",event,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Input Parameters -  Input parameter and values - FA_ID=143025;STATUSCODE=100024;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",47ac08fc668e84a3,"-","-",dotnet,"mpi-los_BusinessNextApplication","fef46211-7e16-405a-9a91-1e70bf7b3c60","-","-",874ab57387f08aa8,"_geoip_database_unavailable_GeoLite2-City.mmdb",8eed9f78b581869fc7d69f5627b82949,"-","-","-","-","-","-","-","-","-","-","-"
"Jan 28, 2025 @ 15:46:57.776",tEbgq5QBo81fAKGjufn8,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2025.01.22-000037","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Jan 28, 2025 @ 15:46:59.000","-",9,"-","-","-",ff3bb23482818e9c,2a4d6bac1e47ef74,8eed9f78b581869fc7d69f5627b82949,"E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB","C41A697D-6E3A-4634-BE12-0FEC05D7C7DE",EDS,"businessnext-app-669dcb477d-qbfqs","11e0f9b1-8117-44c8-b624-ac711379f69a",985,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 11e0f9b1-8117-44c8-b624-ac711379f69a Message: Input Parameters -  Input parameter and values - FAID=143025;",Information,"DNS: businessnext-app-669dcb477d-qbfqs ApplicationId: E2C1C5B9-BCCE-4B2C-95E5-62FCBF9562AB ComponentId: C41A697D-6E3A-4634-BE12-0FEC05D7C7DE ComponentName: EDS Tenant Id: 985 LogId: 11e0f9b1-8117-44c8-b624-ac711379f69a Message: Input Parameters -  Input parameter and values - FAID=143025;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3","-","-","-",dotnet,"mpi-los_BusinessNextApplication","810b0f0f-e303-421b-810c-03bcdb76c1af","-","-",2a4d6bac1e47ef74,"_geoip_database_unavailable_GeoLite2-City.mmdb",8eed9f78b581869fc7d69f5627b82949,"-","-","-","-","-","-","-","-","-","-","-"
