"@timestamp","_id","_index","_score","agent.name","agent.version","data_stream.dataset","data_stream.namespace","data_stream.type","event.agent_id_status","event.ingested","event.kind","event.severity","labels.ParentId","labels.SpanId","labels.TraceId","labels.{OriginalFormat}","log.level",message,"observer.hostname","observer.type","observer.version","parent.id","service.language.name","service.name","service.node.name","service.target.name","service.target.type","span.id",tags,"trace.id"
"Dec 2, 2024 @ 16:39:47.968",j5yGhpMBo81fAKGjnkMa,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:49.000",event,"-","-","-","-","-","-","Executing Signal Rules In Async Mode For Owner Id : 985, Object Type : 0, Item Id : 78855","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",157554faba8b25c5,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",3d2ed147943399b9,"_geoip_database_unavailable_GeoLite2-City.mmdb",e04a78312d63505f073c102e3e380f02
"Dec 2, 2024 @ 16:39:47.968",kJyGhpMBo81fAKGjnkMa,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:49.000",event,"-","-","-","-","-","-","Fetching Signal Rules Owner Id : 985, Object Type : 0, Item Id : 78855","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",157554faba8b25c5,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",3d2ed147943399b9,"_geoip_database_unavailable_GeoLite2-City.mmdb",e04a78312d63505f073c102e3e380f02
"Dec 2, 2024 @ 16:39:47.866",i5yGhpMBo81fAKGjnkMa,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:49.000",event,"-","-","-","-","-","-","Executing CreateHistory of 78855","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",157554faba8b25c5,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",3d2ed147943399b9,"_geoip_database_unavailable_GeoLite2-City.mmdb",e04a78312d63505f073c102e3e380f02
"Dec 2, 2024 @ 16:39:47.436",15yGhpMBo81fAKGjmTs1,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:48.000",event,"-","-","-","-","-","-","Input Parameters -  Input parameter and values - APPID=78855;FINAPP_FLAG=0;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",f4eddc170c16ab79,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",8d76cb46ff329bf4,"_geoip_database_unavailable_GeoLite2-City.mmdb",e04a78312d63505f073c102e3e380f02
"Dec 2, 2024 @ 16:39:47.068",HZyGhpMBo81fAKGjmTs1,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:48.000",event,"-","-","-","-","-","-","Input Parameters -  Input parameter and values - AID=78855;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",d48eeec024ad8a56,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",ad730a6ecba3028d,"_geoip_database_unavailable_GeoLite2-City.mmdb",e04a78312d63505f073c102e3e380f02
"Dec 2, 2024 @ 16:39:46.955",4pyGhpMBo81fAKGjmTo0,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:48.000",event,"-","-","-","-","-","-","Input Parameters -  Input parameter and values - FA_ID=134520;APPID=78855;STATUSCODEID=100103;","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",9ef5dc1cb8327a44,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",d9f1231385490e45,"_geoip_database_unavailable_GeoLite2-City.mmdb",e04a78312d63505f073c102e3e380f02
"Dec 2, 2024 @ 16:39:41.864",ZpyGhpMBo81fAKGjhQWU,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:43.000",event,"-","-","-","-","-","-","Query - select  CustomObjectId,ROWNUMBER from (select RowNumberSql.*, ROW_NUMBER() OVER (ORDER BY CustomObjectId)  AS  ROWNUMBER from (select CustomObjectId from (select Verification.OwnerId, Verification.CustomObjectId,Verification.LayoutID,Verification.RelatedToId,Verification.RelatedToTypeId from Verification     where Verification.OwnerId=@OwnerID )  AS  temSql  where RelatedToId=78855 and RelatedToTypeId=162 and LayoutID=10204009)  AS  RowNumberSql)  AS  TempQuery WHERE ROWNUMBER BETWEEN @startindex AND @endindex","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",2fcc68c95e36dbfb,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","MPI_PROD",db,e46fc55baadfd95e,"_geoip_database_unavailable_GeoLite2-City.mmdb",b2f5f987b8aa97102c47b07e1c1c06a7
"Dec 2, 2024 @ 16:39:41.862",ZJyGhpMBo81fAKGjhQWU,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:39:43.000",event,"-","-","-","-","-","-","Query - select COUNT(1) from (select RowNumberSql.* from (select CustomObjectId from (select Verification.OwnerId, Verification.CustomObjectId,Verification.LayoutID,Verification.RelatedToId,Verification.RelatedToTypeId from Verification     where Verification.OwnerId=@OwnerID )  AS  temSql  where RelatedToId=78855 and RelatedToTypeId=162 and LayoutID=10204009)  AS  RowNumberSql) as TempQuery","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",2fcc68c95e36dbfb,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","MPI_PROD",db,3dae271b44b4b283,"_geoip_database_unavailable_GeoLite2-City.mmdb",b2f5f987b8aa97102c47b07e1c1c06a7
"Dec 2, 2024 @ 16:29:00.750",Wo18hpMBo81fAKGjuvVv,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:29:01.000",event,"-","-","-","-","-","-","ReadNode Xpath:IsSuccess outer xml: <root><IsSuccess>true</IsSuccess><ErrorCode /><ErrorMessage /><uniqueID>116792406</uniqueID><itemTypeID>403</itemTypeID><itemID>78855</itemID><op_Deviation_msg>No Deviation</op_Deviation_msg><op_PDA_Level>L1</op_PDA_Level><RuleId>76</RuleId><RuleVersion>1.0</RuleVersion></root>","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",ea78a64bae978cbd,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",880b07309e5621fb,"_geoip_database_unavailable_GeoLite2-City.mmdb",5b8e069339dda21ebfe7c995b73fcb45
"Dec 2, 2024 @ 16:29:00.750",W418hpMBo81fAKGjuvVv,".ds-logs-apm.app.mpi_los_businessnextapplication-default-2024.12.02-000028","-","opentelemetry/dotnet","1.6.0","apm.app.mpi_los_businessnextapplication",default,logs,missing,"Dec 2, 2024 @ 16:29:01.000",event,"-","-","-","-","-","-","ReadNode Xpath:ErrorCode outer xml: <root><IsSuccess>true</IsSuccess><ErrorCode /><ErrorMessage /><uniqueID>116792406</uniqueID><itemTypeID>403</itemTypeID><itemID>78855</itemID><op_Deviation_msg>No Deviation</op_Deviation_msg><op_PDA_Level>L1</op_PDA_Level><RuleId>76</RuleId><RuleVersion>1.0</RuleVersion></root>","apm-server-6d98f76794-bsc2b","apm-server","8.11.3",ea78a64bae978cbd,dotnet,"mpi-los_BusinessNextApplication","a488f814-0b96-4783-ba4a-d6f766941397","-","-",880b07309e5621fb,"_geoip_database_unavailable_GeoLite2-City.mmdb",5b8e069339dda21ebfe7c995b73fcb45
